State_Name District_Name Crop_Year Season Crop Area Production
AndhraPradesh ANANTAPUR 1999 Kharif Masoor 23117 3861
AndhraPradesh ANANTAPUR 1999 Kharif Moong(GreenGram) 1546 1098
AndhraPradesh ANANTAPUR 1999 Kharif Ragi 6215 11467
AndhraPradesh ANANTAPUR 1999 Kharif Rice 37991 105082
AndhraPradesh ANANTAPUR 1999 Kharif Sesamum 8 2
AndhraPradesh ANANTAPUR 1999 Kharif Urad 4 2
AndhraPradesh ANANTAPUR 1999 Rabi Bajra 99 54
AndhraPradesh ANANTAPUR 1999 Rabi Gram 26835 9365
AndhraPradesh ANANTAPUR 1999 Rabi Groundnut 21785 25358
AndhraPradesh ANANTAPUR 1999 Rabi Horsegram 1071 327
AndhraPradesh ANANTAPUR 1999 Rabi Jowar 21487 30576
AndhraPradesh ANANTAPUR 1999 Rabi Linseed 12 1
AndhraPradesh ANANTAPUR 1999 Rabi Maize 455 2203
AndhraPradesh ANANTAPUR 1999 Rabi Masoor 98 10
AndhraPradesh ANANTAPUR 1999 Rabi Moong(GreenGram) 1 1
AndhraPradesh ANANTAPUR 1999 Rabi Ragi 734 1180
AndhraPradesh ANANTAPUR 1999 Rabi Rice 20258 45669
AndhraPradesh ANANTAPUR 1999 Rabi Safflower 881 145
AndhraPradesh ANANTAPUR 1999 Rabi Sesamum 10 2
AndhraPradesh ANANTAPUR 1999 Rabi Wheat 439 294
AndhraPradesh ANANTAPUR 1999 WholeYear Drychillies 5199 5759
AndhraPradesh ANANTAPUR 1999 WholeYear Onion 1770 32364
AndhraPradesh ANANTAPUR 1999 WholeYear Sugarcane 884 83126
AndhraPradesh ANANTAPUR 2000 Kharif ArharTur 30693 7888
AndhraPradesh ANANTAPUR 2000 Kharif Bajra 2477 1449
AndhraPradesh ANANTAPUR 2000 Kharif Castorseed 9315 2831
AndhraPradesh ANANTAPUR 2000 Kharif Cotton(lint) 12025 16128
AndhraPradesh ANANTAPUR 2000 Kharif Drychillies 3755 10146
AndhraPradesh ANANTAPUR 2000 Kharif Gram 21 14
AndhraPradesh ANANTAPUR 2000 Kharif Groundnut 791559 884963
AndhraPradesh ANANTAPUR 2000 Kharif Horsegram 601 215
AndhraPradesh ANANTAPUR 2000 Kharif Jowar 5071 14351
